SiteID,Collection_Date,WaterQualityScore,pH,Temperature_C
A001,2023/01/05,72.3,7.2,14.5
A002,2023/01/12,68.1,7.4,13.8
A003,2023/01/19,74.5,7.1,14.1
A004,2023/01/26,,7.3,13.5
A005,2023/02/02,71.2,7.2,13.2
A006,2023/02/09,69.8,7.5,14.8
A007,2023/02/16,66.3,7.0,15.0
A008,2023/02/23,70.1,7.3,14.6
A009,2023/03/02,75.4,7.4,13.9
A010,2023/03/09,73.2,7.2,14.2
A011,2023/03/16,68.9,7.1,14.7
A012,2023/03/23,71.7,,13.8
A013,2023/03/30,72.0,7.3,14.0
A014,2023/04/06,74.3,7.4,15.1
A015,2023/04/13,70.8,7.2,15.4
A016,2023/04/20,69.1,7.1,15.8
A017,2023/04/27,73.5,7.3,16.2
A018,2023/05/04,76.2,7.5,16.5
A019,2023/05/11,74.9,7.4,17.0
A020,2023/05/18,72.1,7.2,17.3
