id,date,score,ph,temp
B-001,Jan 5 2023,71.5,7.3,15.1
B-002,Jan 12 2023,65.8,7.1,
B-003,Jan 19 2023,73.1,7.4,14.9
B-004,Jan 26 2023,70.2,7.2,14.3
B-005,Feb 2 2023,68.9,7.0,13.8
B-006,Feb 9 2023,,7.3,14.2
B-007,Feb 16 2023,67.4,7.1,14.6
B-008,Feb 23 2023,69.3,7.4,15.0
B-009,Mar 2 2023,74.0,7.5,14.4
B-010,Mar 9 2023,72.6,7.3,14.7
B-011,Mar 16 2023,70.1,7.2,15.1
B-012,Mar 23 2023,68.7,7.1,15.3
B-013,Mar 30 2023,71.4,7.3,15.0
B-014,Apr 6 2023,73.8,7.4,15.6
B-015,Apr 13 2023,72.2,,16.1
B-016,Apr 20 2023,70.5,7.2,16.4
B-017,Apr 27 2023,74.1,7.4,16.8
B-018,May 4 2023,75.3,7.5,17.2
B-019,May 11 2023,73.9,7.3,17.5
B-020,May 18 2023,71.8,7.2,17.8
